á.	 'a
A..	 'a
a.	 'a
aí.	 a'i
aç..	 'as
açã.	 as'&~
AA.	 'a&
a.a..	 ,a'a
açaí.	 ,asa'i
aa..	 'a&
açabarcar.	 ,asaba*@-k'ar
mbrola: Warning: r-k unkown, replaced with _-_
aabora.	 ,aab'O*&
açaí-branco.	 ,asa'ibR'&~NkU
AAC.	 a'ak
açacaia.	 ,asak'aI;&
açacal.	 ,asak'aU
açacaladeira.	 ,asak,alad'eI*&
açacaladura.	 ,asak,alad'u*&
açacalar.	 ,asakal'ar
açacanhar.	 ,asak&~n^'ar
açaí-catinga.	 ,asa'ik,atS'iNg&
açaí-chumbo.	 ,asa'iS'u~NbU
açacu.	 ,asak'u
açacuí.	 ,asakw'i
açacuguaçu.	 ,asak,ugwas'u
açacumirim.	 ,asak,umi*'iN
açacurana.	 ,asaku*'&~n&
açacuzeiro.	 ,asakuz'eI*U
açadacão.	 ,asadak'&U~
açaí-de-caatinga.	 ,asa'idZyk,aatS'iNg&
açadecão.	 ,asadek'&U~
açaí-do-alto-amazonas.	 ,asa'idU'aUtU,&maz'on&s
açaí-do-pará.	 ,asa'idUpa*'a
açafaitar.	 ,asafaIt'ar
açafanhar.	 ,asaf&~n^'ar
açafatar.	 ,asafat'ar
açafate-de-oiro.	 ,asaf'atSydZj'oI*U
açafate-de-ouro.	 ,asaf'atSydZj'ow*U
açafate-de-prata.	 ,asaf'atSydZypR'at&
açafateiro.	 ,asafat'eI*U
açafates-de-oiro.	 ,asaf'atSysdZj'oI*U
açafates-de-ouro.	 ,asaf'atSysdZj'ow*U
açafates-de-prata.	 ,asaf'atSysdZypR'at&
açaflor.	 ,asafl'or
açafra.	 ,as'afR&
açafrado.	 ,asafR'adU
açafranado.	 ,asafR&n'adU
açafreiro.	 ,asafR'eI*U
açafrões-agrestes.	 ,asafR'o~jz,agR'EstSys
açafrões-bastardos.	 ,asafR'o~jsb,ast'a*@-dUs
mbrola: Warning: r-d unkown, replaced with _-_
açafrões-bravos.	 ,asafR'o~jsbR'avUs
açafrões-da-índia.	 ,asafR'o~jsda'iNdZj&
açafrões-da-primavera.	 ,asafR'o~jsdapR,imav'E*&
açafrões-da-terra.	 ,asafR'o~jsdat'Ex&
açafrões-do-campo.	 ,asafR'o~jsdUk'&~NpU
açafrões-do-mato.	 ,asafR'o~jsdUm'atU
açafrões-do-outono.	 ,asafR'o~jsdU,owt'onU
açafrões-dos-metais.	 ,asafR'o~jsdUsmet'aIs
açafrões-palhinha.	 ,asafR'o~jsp,al^'in^&
açafrões-vermelhos.	 ,asafR'o~jsv,e*@-m'el^Us
mbrola: Warning: r-m unkown, replaced with _-_
açafróis-da-primavera.	 ,asafR'OIsdapR,imav'E*&
açafróis-do-outono.	 ,asafR'OIsdU,owt'onU
açafrão.	 ,asafR'&U~
açafrão-agreste.	 ,asafR'&U~,agR'EstSy
açafroal.	 ,asafRo'aU
açafroar.	 ,asafRo'ar
açafrão-bastardo.	 ,asafR'&U~b,ast'a*@-dU
mbrola: Warning: r-d unkown, replaced with _-_
açafrão-bravo.	 ,asafR'&U~bR'avU
açafrão-da-índia.	 ,asafR'&U~da'iNdZj&
açafrão-da-primavera.	 ,asafR'&U~dapR,imav'E*&
açafrão-da-terra.	 ,asafR'&U~dat'Ex&
açafrão-do-campo.	 ,asafR'&U~dUk'&~NpU
açafrão-do-mato.	 ,asafR'&U~dUm'atU
açafrão-do-outono.	 ,asafR'&U~dU,owt'onU
açafrão-dos-metais.	 ,asafR'&U~dUsmet'aIs
